API14,Well Name,Well Number,Lease Name,Operator Alias (Legacy),Operator Company Name,Operator (Reported),Operator Ticker,Field,County/Parish,DI Basin,DI Play,DI Subplay,Formation at Total Depth,Target Formation,Producing Reservoir,Elevation,Elevation Type,Ground Elevation,Measured Depth (TD),True Vertical Depth,Production Type,Well Status,Producing Entity Count,Producing Entity ID,Producing Entity Type,Producing Entity Lease Number,Spud Date,Completion Date,Drill Type,Upper Perforation,Lower Perforation,Gross Perforated Interval,Horizontal Length,DI Lateral Length,First Prod Date,Last Prod Date,Months Produced,Start Date (First Treatment Job),End Date (First Treatment Job),First Test Gas Volume,First Test Oil Volume,First Test Water Volume,First Test Hours Tested,First Test Production Method,First Well Test Date,First Reported Test Type,Last Well Test Date,Last Test Type,Peak BOE,Peak BOE Month No.,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Peak BOE per perforated Ft,Peak Gas per perforated Ft,Peak Oil per perforated Ft,Cum BOE,Cum Gas,Cum Oil,Cum Water,Cum GOR,Cum BCFGE,Cum MMCFGE,Latest Gas,Latest Oil,Latest Water,Latest GOR,2nd Month GOR,First 6 BOE,First 6 Gas,First 6 Oil,First 6 Water,First 6 BOE per perforated Ft,First 6 Gas per perforated Ft,First 6 Oil per perforated Ft,First 12 BOE,First 12 Gas,First 12 Oil,First 12 Water,First 12 MMCFGE,First 12 BOE per perforated Ft,First 12 Gas per perforated Ft,First 12 Oil per perforated Ft,Last 12 Gas,Last 12 Oil,Last 12 Water,AAPG Geologic Province,Play Assessment Basin,State,Section,Township,Range,Quarter Quarter,District,Abstract,Block,Survey,Shallowest Perforation,Deepest Perforation,Gross Perforated Interval (Multiple Prod Entities),Oil Gatherer,Gas Gatherer,Oil Gravity,Gas Gravity,Surface Hole Latitude (WGS84),Surface Hole Longitude (WGS84),Bottom Hole Latitude (WGS84),Bottom Hole Longitude (WGS84)
30015495900100,AIR BOSS 13 14 W0PM FEDERAL COM,001H,AIR BOSS 13 14 W0PM FEDERAL COM,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3249.00,KB EST,3226.00,19012.00,,GAS,ACTIVE,1,131044317,COM,332898,2022-08-16,2022-11-07,H,,,,10052.86,9802.86,2022-11-01,2022-12-01,2,2002-10-18,2022-11-07,,,,,,,,,,25786.83,2,34283.00,2,20073.00,2,154.7210,2,2.63,3.50,2.05,27196.50,36495.00,21114.00,192460.00,1728.47,0.1632,163.1790,34283.00,20073.00,129197.00,1707.92,1707.92,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,13,23S,26E,NESE,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,ENTERPRISE FIELD SERVICES L.L.C.,,,32.3011210,-104.2384400,32.2986729,-104.2708452
30015495890100,AIR BOSS 13 14 W0IL FEDERAL COM,001H,AIR BOSS 13 14 W0IL FEDERAL COM,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3250.00,KB EST,3227.00,18973.00,,GAS,ACTIVE,1,131044263,COM,332897,2022-07-28,2022-11-07,H,,,,10023.16,9773.16,2022-11-01,2022-12-01,2,2002-10-18,2022-11-07,,,,,,,,,,34931.33,2,56690.00,2,25483.00,2,209.5880,2,3.57,5.80,2.61,38305.00,62958.00,27812.00,204985.00,2263.70,0.2298,229.8300,56690.00,25483.00,139655.00,2224.62,2224.62,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,13,23S,26E,NESE,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,ENTERPRISE FIELD SERVICES L.L.C.,,,32.3012030,-104.2384390,32.3024664,-104.2708426
30015495880100,AIR BOSS 13 14 W0HE FEDERAL COM,001H,AIR BOSS 13 14 W0HE FEDERAL COM,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3250.00,KB EST,3227.00,19189.00,,GAS,ACTIVE,1,131044262,COM,332896,2022-07-05,2022-11-07,H,,,,10235.46,9985.46,2022-11-01,2022-12-01,2,2002-10-18,2022-11-07,,,,,,,,,,37071.67,2,59596.00,2,27139.00,2,222.4300,2,3.71,5.97,2.72,40215.17,65221.00,29345.00,211616.00,2222.56,0.2413,241.2910,59596.00,27139.00,142890.00,2195.95,2195.95,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,13,23S,26E,NESE,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,ENTERPRISE FIELD SERVICES L.L.C.,,,32.3012850,-104.2384390,32.3062274,-104.2710493
30015495200000,TONY LA RUSSA 0310 STATE COM,225H,TONY LA RUSSA 0310 STATE COM,MATADOR,MATADOR RESOURCES,MATADOR PRODUCTION COMPANY,MTDR,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3203.00,KB EST,3180.00,20103.00,,GAS,ACTIVE,1,131032356,COM,332813,2022-07-15,2022-11-02,H,,,,143.94,,2022-11-01,2022-12-01,2,2022-10-21,2022-11-02,,,,,,,,,,39722.83,2,120341.00,2,19666.00,2,238.3370,2,,,,50897.33,154052.00,25222.00,183277.00,6107.84,0.3054,305.3840,120341.00,19666.00,123077.00,6119.24,6119.24,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,03,24S,27E,NWNW,,,,,,,,"PLAINS MARKETING, L.P.",BP AMERICA INC,,,32.2533660,-104.1827570,32.2537238,-104.1825583
30015494850000,FNR FEDERAL UNIT,021H,FNR FEDERAL UNIT,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,WILDCAT-015 G-05 S233031K,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP,3178.00,KB EST,3155.00,19766.00,,OIL,ACTIVE,1,131030697,COM,317545,2022-05-10,2022-11-01,H,,,,8743.83,8493.83,2022-11-01,2022-12-01,2,,,,,,,,,,,,53568.50,2,75537.00,2,40979.00,2,321.4110,2,6.31,8.89,4.82,72248.67,100762.00,55455.00,208921.00,1817.00,0.4335,433.4920,75537.00,40979.00,134494.00,1843.31,1843.31,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,17,23S,30E,SWNW,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,ENTERPRISE FIELD SERVICES L.L.C.,,,32.3077610,-103.9109290,32.2843237,-103.9046658
30015494770000,FNR FEDERAL UNIT,016H,FNR FEDERAL UNIT,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,FORTY NINER RIDGE,EDDY (NM),DELAWARE,DELAWARE,,,,BONE SPRING,3178.00,KB EST,3155.00,19477.00,,OIL,ACTIVE,1,131030695,COM,317545,2022-04-27,2022-11-01,H,,,,8748.56,8498.56,2022-11-01,2022-12-01,2,,,,,,,,,,,,17227.67,2,26998.00,2,12728.00,2,103.3660,2,2.03,3.18,1.50,23987.84,36713.00,17869.00,207426.00,2054.56,0.1439,143.9270,26998.00,12728.00,108902.00,2121.15,2121.15,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,17,23S,30E,SWNW,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,ENTERPRISE FIELD SERVICES L.L.C.,,,32.3077590,-103.9112530,32.2837130,-103.9110758
30015494610000,TURKS FEE 07,211H,TURKS FEE 07,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",NOVO OIL & GAS,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3086.00,KB,3061.00,14587.00,,GAS,ACTIVE,1,131027076,COM,332753,2022-06-30,2022-09-14,H,,,,6028.50,5778.50,2022-12-01,2022-12-01,1,2022-09-10,2022-09-14,,,,,,,,,,20283.33,1,67550.00,1,9025.00,1,121.7000,1,3.51,11.69,1.56,20283.33,67550.00,9025.00,68752.00,7484.76,0.1217,121.7000,67550.00,9025.00,68752.00,7484.76,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,18,23S,28E,NENE,,,,,,,,ORYX ENERGY CO,ENTERPRISE FIELD SERVICES L.L.C.,43.400000,,32.3113320,-104.1320680,32.3276814,-104.1352415
30015494530000,FNR FEDERAL UNIT,018H,FNR FEDERAL UNIT,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,WILDCAT-015 2330S16 J WOLFCAMP,EDDY (NM),DELAWARE,DELAWARE,,,,,3178.00,KB EST,3155.00,19585.00,,OIL,ACTIVE,1,131025996,COM,317545,2022-04-24,2022-11-01,H,,,,8548.76,8298.76,2022-11-01,2022-12-01,2,,,,,,,,,,,,29931.00,2,40800.00,2,23131.00,2,179.5860,2,3.61,4.92,2.79,45485.17,62491.00,35070.00,162880.00,1781.89,0.2729,272.9110,40800.00,23131.00,85205.00,1763.87,1763.87,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,17,23S,30E,SWNW,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,ENTERPRISE FIELD SERVICES L.L.C.,,,32.3077620,-103.9111220,32.2843381,-103.9089372
30015494520000,RAY STATE COM,134H,RAY STATE COM,MATADOR,MATADOR RESOURCES,MATADOR PRODUCTION COMPANY,MTDR,CULEBRA BLUFF,EDDY (NM),DELAWARE,DELAWARE,,,,"BONE SPRING, SOUTH",2994.50,KB,2966.00,19610.00,8650.00,OIL,ACTIVE,1,131025989,COM,326434,2022-05-23,2022-09-20,H,,,,6507.89,6257.89,2022-10-01,2022-12-01,3,2022-09-02,2022-09-20,,,,,,,,,,82105.83,2,106961.00,2,64279.00,2,492.6350,2,13.12,17.09,10.27,232841.16,305143.00,181984.00,79548.00,1676.76,1.3970,1397.0470,101126.00,61049.00,21788.00,1656.47,1664.01,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,01,24S,28E,NENE,,,,,,,,"PLAINS MARKETING, L.P.",BP AMERICA INC,75.000000,,32.2518210,-104.0336790,32.2697087,-104.0337566
30015494390000,FNR FEDERAL UNIT,011H,FNR FEDERAL UNIT,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,FORTY NINER RIDGE,EDDY (NM),DELAWARE,DELAWARE,,,,BONE SPRING,3178.00,KB EST,3155.00,19628.00,,OIL,ACTIVE,1,131025987,COM,317545,2022-05-11,2022-11-01,H,,,,8849.53,8599.53,2022-11-01,2022-12-01,2,,,,,,,,,,,,28914.50,2,42381.00,2,21851.00,2,173.4870,2,3.36,4.93,2.54,39244.17,54865.00,30100.00,257056.00,1822.76,0.2355,235.4650,42381.00,21851.00,156938.00,1939.55,1939.55,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,17,23S,30E,SWNW,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,ENTERPRISE FIELD SERVICES L.L.C.,,,32.3077610,-103.9109940,32.2836987,-103.9068045
30015494380000,FNR FEDERAL UNIT,019H,FNR FEDERAL UNIT,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,FORTY NINER RIDGE,EDDY (NM),DELAWARE,DELAWARE,,,,BONE SPRING,3207.00,KB EST,3184.00,19009.00,,OIL,ACTIVE,1,131025993,COM,317545,2022-05-07,2022-11-01,H,,,,3709.34,3459.34,2022-11-01,2022-12-01,2,,,,,,,,,,,,39137.50,2,50691.00,2,30689.00,2,234.8250,2,11.31,14.65,8.87,67792.33,88616.00,53023.00,135816.00,1671.27,0.4068,406.7540,50691.00,30689.00,60030.00,1651.76,1651.76,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,20,23S,30E,SESW,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,ENTERPRISE FIELD SERVICES L.L.C.,,,32.2934969,-103.9109100,32.2837013,-103.9075811
30015494300000,FNR FEDERAL UNIT,017H,FNR FEDERAL UNIT,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,FORTY NINER RIDGE,EDDY (NM),DELAWARE,DELAWARE,,,,BONE SPRING,3179.00,KB EST,3156.00,18897.00,,OIL,ACTIVE,1,131024975,COM,317545,2022-05-01,2022-11-01,H,,,,8751.44,8501.44,2022-11-01,2022-12-01,2,,,,,,,,,,,,43221.67,2,55684.00,2,33941.00,2,259.3300,2,5.08,6.55,3.99,72152.84,89069.00,57308.00,138343.00,1554.22,0.4329,432.9170,55684.00,33941.00,73734.00,1640.61,1640.61,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,17,23S,30E,SWNW,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,ENTERPRISE FIELD SERVICES L.L.C.,,,32.3077590,-103.9111880,32.2837112,-103.9105257
30015494280000,BO HOWARD 1211 FEDERAL COM,122H,BO HOWARD 1211 FEDERAL COM,MATADOR,MATADOR RESOURCES,MATADOR PRODUCTION COMPANY,MTDR,AVALON,EDDY (NM),DELAWARE,DELAWARE,,,,"BONE SPRING, EAST",3216.00,KB EST,3193.00,15561.00,,OIL,ACTIVE,1,131024957,COM,332732,2022-05-25,2022-11-04,H,,,,7658.62,7408.62,2022-11-01,2022-12-01,2,2022-10-28,2022-11-04,,,,,,,,,,42156.83,2,55895.00,2,32841.00,2,252.9410,2,5.69,7.54,4.43,60225.66,75796.00,47593.00,137042.00,1592.59,0.3614,361.3540,55895.00,32841.00,64879.00,1701.99,1701.99,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,12,21S,27E,SWNE,,,,,,,,"PLAINS MARKETING, L.P.",BP AMERICA INC,,,32.5003830,-104.1352590,32.4972046,-104.1598135
30015494270000,BO HOWARD 1211 FEDERAL COM,121H,BO HOWARD 1211 FEDERAL COM,MATADOR,MATADOR RESOURCES,MATADOR PRODUCTION COMPANY,MTDR,AVALON,EDDY (NM),DELAWARE,DELAWARE,,,,"BONE SPRING, EAST",3216.00,KB EST,3193.00,15455.00,,OIL,ACTIVE,1,131024939,COM,332732,2022-06-14,2022-11-30,H,,,,7548.44,7298.44,2022-11-01,2022-12-01,2,2022-10-28,2022-11-30,,,,,,,,,,68653.00,2,104448.00,2,51245.00,2,411.9180,2,9.41,14.31,7.02,92160.83,129923.00,70507.00,164863.00,1842.70,0.5530,552.9650,104448.00,51245.00,89028.00,2038.21,2038.21,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,12,21S,27E,NENE,,,,,,,,"PLAINS MARKETING, L.P.",BP AMERICA INC,,,32.5003840,-104.1353590,32.5008330,-104.1598357
30015494170000,OVATION FEDERAL COM 1318,135H,OVATION FEDERAL COM 1318,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",NOVO OIL & GAS,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",,CULEBRA BLUFF,EDDY (NM),DELAWARE,DELAWARE,,,,"BONE SPRING, SOUTH",3004.00,KB EST,2981.00,18138.00,,OIL,ACTIVE,1,131024962,COM,331711,2022-04-15,2022-06-20,H,,,,11076.52,10826.52,2022-11-01,2022-12-01,2,2022-06-09,2022-06-20,,,,,,,,,,35768.50,2,45423.00,2,28198.00,2,214.6110,2,3.30,4.20,2.60,58361.33,73532.00,46106.00,184838.00,1594.85,0.3502,350.1680,45423.00,28198.00,86972.00,1610.86,1610.86,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,14,23S,28E,SENE,,,,,,,,ORYX ENERGY CO,CRESTWOOD NEW MEXICO PIPELINE LLC,49.000000,,32.3083940,-104.0509840,32.3077174,-104.0151437
30015494130000,POKER LAKE UNIT 26 BD,104H,POKER LAKE UNIT 26 BD,XTO PERMIAN OPERATING LLC,EXXON MOBIL,XTO PERMIAN OPERATING LLC.,XOM,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3335.00,KB EST,3312.00,18988.00,,GAS,ACTIVE,1,131023868,COM,329859,2022-06-14,2022-09-16,H,,,,2915.07,2665.07,2022-11-01,2022-12-01,2,2022-09-05,2022-09-16,,,,,,,,,,52267.17,2,82705.00,2,38483.00,2,313.6030,2,19.61,31.03,14.44,57239.17,93931.00,41584.00,117897.00,2258.83,0.3434,343.4350,82705.00,38483.00,102306.00,2149.13,2149.13,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,26,25S,30E,SENW,,,,,,,,PLAINS MARKETING L.P.,"XTO ENERGY, INC",,,32.1023936,-103.8539855,32.0945219,-103.8522276
