"","api","sampler","distance","Well.Name","Well.Number","Lease.Name","Operator.Alias..Legacy.","Operator.Company.Name","Operator..Reported.","Operator.Ticker","Field","County.Parish","DI.Basin","DI.Play","DI.Subplay","Formation.at.Total.Depth","Target.Formation","Producing.Reservoir","Elevation","Elevation.Type","Ground.Elevation","Measured.Depth..TD.","True.Vertical.Depth","Production.Type","Well.Status","Producing.Entity.Count","Producing.Entity.ID","Producing.Entity.Type","Producing.Entity.Lease.Number","Spud.Date","Completion.Date","Drill.Type","Upper.Perforation","Lower.Perforation","Gross.Perforated.Interval","Horizontal.Length","DI.Lateral.Length","First.Prod.Date","Last.Prod.Date","Months.Produced","Start.Date..First.Treatment.Job.","End.Date..First.Treatment.Job.","First.Test.Gas.Volume","First.Test.Oil.Volume","First.Test.Water.Volume","First.Test.Hours.Tested","First.Test.Production.Method","First.Well.Test.Date","First.Reported.Test.Type","Last.Well.Test.Date","Last.Test.Type","Peak.BOE","Peak.BOE.Month.No.","Peak.Gas","Peak.Gas.Month.No.","Peak.Oil","Peak.Oil.Month.No.","Peak.MMCFGE","Peak.MMCFGE.Month.No.","Peak.BOE.per.perforated.Ft","Peak.Gas.per.perforated.Ft","Peak.Oil.per.perforated.Ft","Cum.BOE","Cum.Gas","Cum.Oil","Cum.Water","Cum.GOR","Cum.BCFGE","Cum.MMCFGE","Latest.Gas","Latest.Oil","Latest.Water","Latest.GOR","X2nd.Month.GOR","First.6.BOE","First.6.Gas","First.6.Oil","First.6.Water","First.6.BOE.per.perforated.Ft","First.6.Gas.per.perforated.Ft","First.6.Oil.per.perforated.Ft","First.12.BOE","First.12.Gas","First.12.Oil","First.12.Water","First.12.MMCFGE","First.12.BOE.per.perforated.Ft","First.12.Gas.per.perforated.Ft","First.12.Oil.per.perforated.Ft","Last.12.Gas","Last.12.Oil","Last.12.Water","AAPG.Geologic.Province","Play.Assessment.Basin","State","Section","Township","Range","Quarter.Quarter","District","Abstract","Block","Survey","Shallowest.Perforation","Deepest.Perforation","Gross.Perforated.Interval..Multiple.Prod.Entities.","Oil.Gatherer","Gas.Gatherer","Oil.Gravity","Gas.Gravity","lat.w","lon.w","Bottom.Hole.Latitude..WGS84.","Bottom.Hole.Longitude..WGS84.","V1.w","V2.w","lon.s","lat.s","V1.s","V2.s","2.5km"
"11",30015224140000,"mid-south #2 (BLM)",2097.57698967024,"TOLES FEDERAL","001","TOLES FEDERAL","EASTLAND OIL","EASTLAND OIL","EASTLAND OIL CO","","HERRADURA BEND","EDDY (NM)","DELAWARE","DELAWARE",NA,"DELAWARE","DELAWARE","DELAWARE",3035.94,"KB EST",3021.94,2455,2455,"OIL","ACTIVE",1,"1453788","COM","003928","1978-02-11","1979-01-01","V",NA,NA,NA,NA,NA,"1979-01-01","2022-11-01",526,"","",NA,NA,NA,NA,"","","","","",868.17,1,25,366,864,1,5.209,1,NA,NA,NA,127187.76,10508,125435,120622,83.77,0.7631,763.118,NA,12,72,NA,32.81,4191,150,4166,11,NA,NA,NA,7465,300,7415,11,44.79,NA,NA,NA,2,379,2553,"PERMIAN BASIN","","NM",29,"22S",28,"SWSE",NA,NA,NA,NA,NA,NA,NA,"NAVAJO REFINING COMPANY, L.L.C.","",42.8,NA,32.3573074,-104.1083679,32.3574727,-104.1082185,583892.634597581,3580391.01703317,-104.126102741799,32.3458448994836,582234.299210755,3579106.58993427,TRUE
"12",30015224960000,"mid-south #2 (BLM)",2429.07004054952,"HARROUN A","001","HARROUN A","EASTLAND OIL","EASTLAND OIL","EASTLAND OIL CO","","HERRADURA BEND","EDDY (NM)","DELAWARE","DELAWARE",NA,"DELAWARE","DELAWARE","DELAWARE",3058,"KB",3031,2480,2480,"OIL","ACTIVE",1,"1444387","COM","003902","1981-10-02","1981-11-03","V",2465,2480,15,NA,15,"1981-11-01","2022-11-01",492,"","",NA,NA,NA,NA,"","","","","",1439.17,3,50,1,1435,3,8.635,3,95.94,3.33,95.67,88953.89,9658,87343,42138,110.58,0.5337,533.716,NA,36,54,NA,19.2,6423.17,175,6394,0,428.21,11.67,426.27,11347.17,325,11293,0,68.083,756.48,21.67,752.87,NA,512,685,"PERMIAN BASIN","","NM",29,"22S",28,"SESE",NA,NA,NA,NA,2465,2480,15,"NAVAJO REFINING COMPANY, L.L.C.","",42.2,NA,32.3573494,-104.1041336,32.357465,-104.1039857,584291.009974499,3580398.99934935,-104.126102741799,32.3458448994836,582234.299210755,3579106.58993427,TRUE
"13",30015226270100,"oil well area #3",877.834832693508,"PARDUE FARMS 26","001","PARDUE FARMS 26","CHEVRON","CHEVRON","CHEVRON MIDCONTINENT, L.P.","CVX","CULEBRA BLUFF","EDDY (NM)","DELAWARE","DELAWARE",NA,"T. 2ND BONE SPRING","BONE SPRING, SOUTH","MULTIPLE",3051,"KB",3026,9273,6658.47,"GAS","ACTIVE",4,"1448100,113542197,128127653,128189656","MULTIPLE","MULTIPLE","1978-09-16","2012-09-14","H",7022,9172,2150,3006.97,2150,"1979-01-01","2022-10-01",497,"","",NA,NA,NA,NA,"","","","","",88058,2,528348,2,768,412,528.348,2,40.96,245.74,0.36,1516272.02,9065952,5280,32862,1717036.36,9.0976,9097.632,7624,NA,NA,NA,NA,237447.17,1422901,297,64,110.44,661.81,0.14,470912.17,2823061,402,64,2825.473,219.03,1313.05,0.19,51199,39,NA,"PERMIAN BASIN","","NM",26,"23S",28,"SWNW",NA,NA,NA,NA,7022,12638,5616,"MULTIPLE","MULTIPLE",NA,NA,32.2783623,-104.0645421,32.2701142,-104.0639196,588092.701724419,3571674.79653463,-104.070258300466,32.272107693384,587560.39114406,3570976.77114861,TRUE
"14",30015226770000,"oil well area #2",1810.59308628903,"BRANTLEY","001","BRANTLEY","BTA OIL PRODUCERS","BTA OIL PRODUCERS","BTA OIL PRODUCERS, LLC","","LOVING","EDDY (NM)","DELAWARE","DELAWARE",NA,"BRUSHY CANYON, EAST","BRUSHY CANYON, EAST","MULTIPLE",3032,"KB",3008,13129,13129,"OIL","ACTIVE",2,"1442448,130933533","MULTIPLE","MULTIPLE","1978-09-19","1979-04-01","V",NA,NA,NA,NA,NA,"1979-04-01","2022-11-01",488,"","",NA,NA,NA,NA,"","","","","",6535.33,1,39110,1,4013,163,39.212,1,NA,NA,NA,457316.44,2228463,85906,149400,25940.71,2.7439,2743.899,726,18,210,40333.33,1283700,36259.5,216873,114,200,NA,NA,NA,67140.83,401573,212,5549,402.845,NA,NA,NA,11717,404,2282,"PERMIAN BASIN","","NM",22,"23S",28,"NESW",NA,NA,NA,NA,NA,NA,NA,"MULTIPLE","MULTIPLE",NA,NA,32.2886353,-104.0770493,32.2888394,-104.077135,586905.047091344,3572803.39404734,-104.066007144229,32.3020064247921,587931.905474998,3574294.63822052,TRUE
"15",30015227790000,"Loving, Conoco",1676.66585228107,"CARTER GAS COM","001","CARTER GAS COM","CHEVRON","CHEVRON","CHEVRON U S A INC","CVX","LOVING","EDDY (NM)","DELAWARE","DELAWARE",NA,"ATOKA, NORTH (GAS)","ATOKA, NORTH (GAS)","ATOKA, NORTH (GAS)",3082,"KB",3062,12664,12664,"GAS","ACTIVE",1,"1464227","COM","311784","1979-07-28","1980-05-01","V",NA,NA,NA,NA,NA,"1980-05-01","2022-11-01",485,"","",NA,NA,NA,NA,"","","","","",2761,5,13299,9,693,5,16.566,5,NA,NA,NA,193678.54,1115547,7754,35653,143867.29,1.1621,1162.071,19,NA,NA,NA,NA,13412.33,76082,732,9100,NA,NA,NA,26408.67,150424,1338,18150,158.452,NA,NA,NA,509,NA,NA,"PERMIAN BASIN","","NM",18,"23S",28,"NWSE",NA,NA,NA,NA,NA,NA,NA,"","CHEVRON U S A INC",NA,NA,32.3033562,-104.1245346,32.3037176,-104.1242603,582420.352786542,3574397.76437306,-104.108931792669,32.296066708746,583896.039563395,3573601.80148647,TRUE
"16",30015227940000,"mid-south #2 (BLM)",1889.67214552784,"C.R. LOPEZ C","002","C.R. LOPEZ C","EASTLAND OIL","EASTLAND OIL","EASTLAND OIL CO","","HERRADURA BEND","EDDY (NM)","DELAWARE","DELAWARE",NA,"DELAWARE","DELAWARE","DELAWARE",3035,"KB EST",3021,2450,2450,"OIL","ACTIVE",1,"1444392","COM","003909","1979-01-20","1979-03-01","V",NA,NA,NA,NA,NA,"1979-03-01","2022-11-01",525,"","",NA,NA,NA,NA,"","","","","",1215.17,1,25,364,1211,1,7.291,1,NA,NA,NA,63082.29,10493,61332,90143,171.09,0.3785,378.485,1,35,171,28.57,24.73,5041,150,5016,107,NA,NA,NA,8629,300,8579,110,51.774,NA,NA,NA,12,565,506,"PERMIAN BASIN","","NM",32,"22S",28,"NWNE",NA,NA,NA,NA,NA,NA,NA,"NAVAJO REFINING COMPANY, L.L.C.","",42.85,NA,32.3536797,-104.1082687,32.3538442,-104.1082275,583905.318373288,3579988.94801126,-104.126102741799,32.3458448994836,582234.299210755,3579106.58993427,TRUE
"17",30015228790000,"mid-south #2 (BLM)",1370.08595738987,"STATE 32","002","STATE 32","EASTLAND OIL","EASTLAND OIL","EASTLAND OIL CO","","HERRADURA BEND","EDDY (NM)","DELAWARE","DELAWARE",NA,"DELAWARE","DELAWARE","DELAWARE",3069,"KB EST",3055,2462,2462,"OIL","ACTIVE",1,"1473781","COM","003923","1979-03-20","1979-05-01","V",NA,NA,NA,NA,NA,"1979-05-01","2022-11-01",523,"","",NA,NA,NA,NA,"","","","","",1083.17,1,25,362,1079,1,6.499,1,NA,NA,NA,76559.83,10383,74828,83662,138.76,0.4594,459.351,NA,111,322,NA,24.39,5184,150,5159,427,NA,NA,NA,8826,300,8776,947,52.956,NA,NA,NA,NA,1352,2758,"PERMIAN BASIN","","NM",32,"22S",28,"NWNW",NA,NA,NA,NA,NA,NA,NA,"NAVAJO REFINING COMPANY, L.L.C.","",42.2,NA,32.3545113,-104.1157227,32.3546907,-104.1157545,583203.166581313,3580075.31670116,-104.126102741799,32.3458448994836,582234.299210755,3579106.58993427,TRUE
"18",30015228860000,"Loving, Conoco",2350.21095663675,"VILLA A COM","001","VILLA A COM","OCCIDENTAL PETR","OCCIDENTAL PETROLEUM","OXY USA WTP LIMITED PARTNERSHIP","OXY","LOVING","EDDY (NM)","DELAWARE","DELAWARE",NA,"MORROW, NORTH (GAS)","MORROW, NORTH (GAS)","MORROW, NORTH (GAS)",3043,"KB",3025,12500,12500,"GAS","ACTIVE",1,"1446308","COM","027663","1979-04-05","1979-10-01","V",NA,NA,NA,NA,NA,"1979-10-01","2022-11-01",481,"","",2837,NA,NA,24,"FLOWING","1997-11-14","InitialPotentialTest","1997-11-14","InitialPotentialTest",16477.5,223,98679,223,310,67,98.865,223,NA,NA,NA,348924.86,2086991,1093,6641,1909415.37,2.0935,2093.549,298,NA,NA,NA,NA,60628.33,363770,0,60,NA,NA,NA,96843.17,581059,0,2318,581.059,NA,NA,NA,3959,NA,NA,"PERMIAN BASIN","","NM",8,"23S",28,"NESW",NA,NA,NA,NA,12038,12417,379,"","ENTERPRISE FIELD SERVICES L.L.C.",NA,NA,32.3171425,-104.1116333,32.317407,-104.1116864,583622.316070774,3575936.01805532,-104.108931792669,32.296066708746,583896.039563395,3573601.80148647,TRUE
"19",30015229020000,"oil well area #3",1071.64964185178,"PARDUE 34","001","PARDUE 34","RUBICON O&G","RUBICON OIL & GAS LLC","RUBICON OIL & GAS, LLC","","LOVING","EDDY (NM)","DELAWARE","DELAWARE",NA,"BRUSHY CANYON, EAST","BRUSHY CANYON, EAST","MULTIPLE",3056,"KB",3035,6350,6350,"OIL","ACTIVE",2,"1463598,130945616","MULTIPLE","MULTIPLE","1979-04-28","1979-08-01","V",NA,NA,NA,NA,NA,"1979-08-01","2022-11-01",427,"","",NA,NA,NA,NA,"","","","","",23662.33,2,141974,2,939,258,141.974,2,NA,NA,NA,452864.16,2343991,62199,156516,37685.35,2.7172,2717.185,1256,42,163,29904.76,NA,128382.17,770293,0,363,NA,NA,NA,197146.33,1182878,0,424,1182.878,NA,NA,NA,13690,483,2287,"PERMIAN BASIN","","NM",34,"23S",28,"SENE",NA,NA,NA,NA,6227,6244,17,"MULTIPLE","MULTIPLE",NA,NA,32.2625237,-104.0687714,32.2628746,-104.0680795,587709.647901457,3569915.56646748,-104.070258300466,32.272107693384,587560.39114406,3570976.77114861,TRUE
"20",30015229220000,"oil well area #2",1942.71437843827,"SOUTH CULEBRA BLUFF UNIT","005","SOUTH CULEBRA BLUFF UNIT","CHEVRON","CHEVRON","CHEVRON U S A INC","CVX","LOVING","EDDY (NM)","DELAWARE","DELAWARE",NA,"BRUSHY CANYON, EAST","BRUSHY CANYON, EAST","BRUSHY CANYON, EAST",3000,"KB",2976,13171,13171,"OIL","ACTIVE",1,"1477608","COM","322815","1979-10-24","1980-12-01","V",NA,NA,NA,NA,NA,"1980-12-01","2022-11-01",349,"","",NA,NA,NA,NA,"","","","","",1077,299,5105,5,1077,299,6.462,299,NA,NA,NA,70448.6,205672,36170,157528,5686.26,0.4227,422.692,169,119,208,1420.17,8428.57,3406.17,18433,334,0,NA,NA,NA,5866.67,32902,383,0,35.2,NA,NA,NA,973,625,684,"PERMIAN BASIN","","NM",13,"23S",28,"NWSW",NA,NA,NA,NA,NA,NA,NA,"CHEVRON U S A INC","CHEVRON U S A INC",NA,NA,32.3036423,-104.0454636,32.3039508,-104.0457719,589864.464577465,3574493.01783556,-104.066007144229,32.3020064247921,587931.905474998,3574294.63822052,TRUE
